id;message;target
881;¿Cerveza?;legit
882;¿Como en diferentes estilos?;legit
883;¿Cómo es la calle donde termina el paseo de la biblioteca?;legit
884;¿Cómo es la historia de esa persona?;legit
885;¿Cómo es posible enseñarte? ¿Y dónde?;legit
886;¿Cómo es posible que un niño que tiene miedo a la oscuridad pueda convertirse en un adolescente que quiere pasar la noche fuera?;spam
887;¿Cómo es que lo consigue? Debería ser bastante difícil de adivinar...;legit
888;¿Cómo es que no me corté el pelo? Sí, me corté el pelo...;legit
889;¿Cómo es que no tienes nada que hacer?;legit
890;¿Cómo es que vais a ver películas por vuestro lado?;legit
891;¿Cómo está el dolor? Espero que estés bien.;legit
892;¿Cómo está mi amante? ¿Qué hace que le impide acercarse a su Reina? ¿No se muere por hablar conmigo? ¿Me extraña desesperadamente?;legit
893;¿Cómo está mi chico? No me queda nada bonito esta mañana... *suspira*... ¿Qué tal tu día, mi amor? ¿Ya empezaste a estudiar?;legit
894;¿Cómo está mi persona favorita hoy? ¿Estás trabajando duro? Anoche no pude dormir otra vez. Casi te llamo a las 4:30.;legit
895;¿Cómo está tu artículo?;legit
896;¿Cómo está tu negocio ahora?;legit
897;¿Cómo están, chicas? Espero que estén bien. Dormí fatal. Me quedé dormida a las 5. Estoy hecha polvo y me muero de ganas de trabajar esta noche. ¿Qué están haciendo esta noche? X;legit
898;¿Cómo estás con el dinero? Para ti, el dinero no es nada... ¿cómo estás?;legit
899;¿Cómo estás, mi amor? ¿Estás con tu hermano? ¿Hora de hablar inglés con él? *Sonríe* Di: Hola Mulegitmad, Penny te manda saludos desde el otro lado del mar.;legit
900;¿Cómo estás, nena? Espero que estés bien. Cada vez que te llamo, tu teléfono está apagado. Te extraño. Ponte en contacto.;legit
901;¿Cómo estás?;legit
902;¿Cómo estás? ¡Te extraño!;legit
903;¿CÓMO ESTÁS? ¡TE HE EXTRAÑADO! NO HE ESTADO MUCHO DESPERTAR. ESTOY UN POCO ABURRIDA DE LAS VACACIONES. ¡QUIERO VOLVER A LA UNIVERSIDAD! ¿TRISTE, NO?;legit
904;¿Cómo estás? ¿Cómo está la reina? ¿Vas a la boda real?;legit
905;¿Cómo estás? ¿Qué estás haciendo? ¿Cómo están los maestros? Y así sucesivamente.;legit
906;¿Cómo estás? Espero que te hayas adaptado al nuevo curso. Te deseo un día genial.;legit
907;¿Cómo estás? Ha pasado mucho tiempo. ¿Cómo está Abj?;legit
908;¿Cómo estás? Pagué 60.400 mil. Te dije que llamarías.;legit
909;¿Cómo estás? Solo quería saber cómo estás.;legit
910;¿Cómo estás? Te deseo un excelente semestre.;legit
911;¿Cómo fue enviar mensajes de texto y conducir?;legit
912;¿Cómo hacer feliz a una chica? No es nada difícil hacer felices a las chicas. Solo necesitas ser... 1. Un amigo 2. Un compañero 3. Un amante 4. Un chef . . . <#> . Buen oyente <#> . Organizador <#> . Buen novio <#> . Muy limpio <#> . Simpático <#> . Atlético <#> . Cálido . . . <#> . Valiente <#> . Decidido <#> . Verdadero <#> . Confiable <#> . Inteligente . . . <#> . Psicólogo <#> . Exterminador de plagas <#> . Psiquiatra <#> . Sanador. . <#> . Estilista <#> . Conductor . . Aaniye pudunga venaam..;legit
913;¿Cómo han estado tus pequeños esta semana? ¿Necesitas un café mañana? ¡No puedo creer que ya sea esa época de la semana!;legit
914;¿Cómo lo descubriste de una manera que no incluía todos estos detalles?;legit
915;¿Cómo me lo vas a enviar?;legit
916;¿Cómo no? Escuché el álbum Plaid, muy bueno, y el nuevo Air1, que es divertidísimo. También compré Braindance, un recopilatorio de cosas en Aphex.;legit
917;¿Cómo nos ayudan los amigos con los problemas? Nos dan la sugerencia más tonta que nos mete en otro problema y nos ayuda a olvidar el anterior.;legit
918;¿Cómo planeas gestionar eso?;legit
919;¿Cómo probaría mi dirección IP considerando que mi computadora no es un servidor de Minecraft?;legit
920;¿Cómo que ya casi terminas? ¿Ya terminaste de dormir? Pero te dije que te ibas a echar una siesta... Sí, le dije que sí, así que la recogeré a las 4 am...;legit
921;¿Cómo se redimensiona ese reloj?;legit
922;¿Cómo sé...? ¿Especifiqué el dominio como nusstu...? Todavía estoy en la escuela...;legit
923;¿Cómo te atreves a cambiar mi anillo?;legit
924;¿Cómo te atreves, estúpido? No te diré nada. Oye, después no te hablaré.;legit
925;¿Cómo te sientes? Señor, no eres mi verdadero Valentín, solo mi Valentín, aunque casi no juegues.;legit
926;¿Cómo va el dolor querido? ¿Estás sonriendo?;legit
927;¿Cómo va todo? Solo una pregunta rápida.;legit
928;¿Cómo va tu agenda la semana que viene? Estaré fuera de la ciudad este fin de semana.;legit
929;"¿Cómo voy a acercarme a ti ahora? ;_;";legit
930;¿Cómo?;legit
931;¿Cómo? ¿Sigue lloviendo?;legit
932;¿Compras? Eh ger estoy fumando sobre syd leh...Jaja;legit
933;¿Confirmamos comer en la explanada?;legit
934;¿Conocerás pronto a la pareja de tus sueños? ¿Tu carrera ha tenido un comienzo brillante? Para descubrirlo gratis, envía un mensaje de texto con tu horóscopo seguido de tu signo zodiacal, por ejemplo, Horóscopo de ARIES.;spam
935;¿Conoces a alguien que pueda comprar licor? Nuestro hombre se escaqueó y ahora mismo, si no encontramos a alguien, estaremos esperando toda la noche.;legit
936;¿Conoces a mi antiguo Dom del que te hablé ayer? ¿Se llama Roger? Me contactó anoche y quiere que nos veamos hoy a las 2 p. m.;legit
937;¿Crees que alguna chica te propondrá matrimonio hoy al ver tu maldita cara de mierda? ¡Imbécil!;legit
938;¿Crees que Chennai está bien asentado?;legit
939;¿Crees que debería hablar con él? ¿No llamar a su jefe por la mañana? Fui a este sitio el año pasado y me dijo dónde podía arreglar mi coche más barato. Hoy no paraba de repetirme lo mucho que esperaba que volviera, que siempre se arrepentía de no haber conseguido mi número, etc.;legit
940;"¿Crees que eres inteligente? ¡Gana 200  esta semana en nuestro concurso semanal! ¡Envía ""PLAY"" al 85222 ahora! Términos y condiciones: WinnersClub, apartado postal 84, M26 3UZ. Mayores de 16 años. 1,50 GBP/semana.";spam
941;¿Crees que podría pasarme en una hora más o menos? Mi compañero de piso quiere comprar provisiones para un viaje.;legit
942;¿Crees que puedo mudarme <#> en una semana?;legit
943;¿Crees que soy? Debería decirlo en el programa de estudios.;legit
944;¿Cristhian, te quedarás sin TVs Vision AI?👁️📺;spam
945;¿Cuál es el nombre del personal que toma clases para nosotros?;legit
946;¿Cuál es el número de modelo de tu teléfono?;legit
947;¿Cuál es el plural del sustantivo investigación?;legit
948;¿Cual es el significado?;legit
949;¿Cuál es la dirección de la niñera?;legit
950;¿cual es su numero de cuenta?;legit
951;¿Cuál es tu número de habitación? Quiero asegurarme de que estoy llamando a la puerta correcta.;legit
952;¿Cual es tu pin?;legit
953;¿Cuál es tu plan para el pongal?;legit
954;¿Cual es tu récord en una noche? :);legit
955;¿Cuáles son tus planes para año nuevo?;legit
956;¿Cuando debería venir?;legit
957;¿Cuándo empiezan las clases? ¿Dónde te alojarás? ¿Qué tiempo hace? ¿Y la comida? ¿Tienes algún apoyo social, como amigos en la escuela? Todo esto es importante.;legit
958;¿Cuándo es la hora de inicio de sesión...? ¿Papá me va a buscar a casa ahora?;legit
959;¿Cuando es tu programa de radio?;legit
960;¿Cuándo extrañas a alguien?;legit
961;¿Cuándo llegaste a la biblioteca?;legit
962;¿Cuando os vais chicos?;legit
963;¿Cuando planean venir?;legit
964;¿Cuando puedo salir Ì_?;legit
965;¿Cuándo quieres verlo entonces?;legit
966;¿Cuando regresó papá?;legit
967;¿Cuándo terminaron tú y Derek la clase?;legit
968;¿Cuándo usé soc...? Solo lo uso en casa... No sé cómo escribirlo en Word...;legit
969;¿Cuando vas a montar en bicicleta?;legit
970;¿Cuándo vuelven? G dijo que estabas pensando en no quedarte para el MCR.;legit
971;¿Cuándo y dónde te recojo?;legit
972;¿Cuántas lamidas se necesitan para llegar al centro de un Tootsie Pop?;legit
973;¿Cuántas veces lo dije en el escenario? Todos se reían. No escuchaste, jaja.;legit
974;¿Cuánto costará aproximadamente? Por mes.;legit
975;¿Cuánto costaría contratar a un sicario?;legit
976;¿Cuánto cuesta el blackberry bold2 en nigeria?;legit
977;¿Cuánto cuesta una antorcha en 9ja?;legit
978;¿Cuánto estamos recibiendo?;legit
979;¿Cuánto estás dispuesto a pagar?;legit
980;¿Cuánto estás intentando conseguir?;legit
981;¿Cuánto mides princesa?;legit
982;¿Cuánto pagó? Suganya.;legit
983;¿Cuanto por un octavo?;legit
984;¿Cuánto recibiste por la limpieza?;legit
985;¿Cuánto te costó la carcasa de tu disco duro?;legit
986;¿Cuánto tiempo pasará hasta que reciba una respuesta? Simplemente aplace la admisión hasta el próximo semestre.;legit
987;¿Cuánto tiempo tarda Applebee's en follar?;legit
988;¿Cuánto tiempo tarda en llegar?;legit
989;¿De qué hablas, madrugando? ¡Ya casi es mediodía donde estás!;legit
990;¿De quién estás hablando?;legit
991;¿De verdad, pueden reunirse conmigo en el Sunoco de Howard? Debería estar en el camino.;legit
992;¿Debería comprarle una BlackBerry Bold 2 o una Torch? ¿Debería comprársela nueva o usada? Avísame. Además, ¿dices que debería comprar el iPad con wifi <g? ¿Y qué dices del <g?;legit
993;¿Debería decirle a mi amigo que no venga hasta alrededor de <#>?;legit
994;¿Debería empezar desde aquí?;legit
995;¿Debería enviarte fotos traviesas? :);legit
996;¿Debería estar acosándote?;legit
997;¿Debería haber recogido un recibo o algo antes?;legit
998;¿Debería ir directamente allí o qué?;legit
999;¿Debería recoger mi bolsa?;legit
1000;¿Debo enviarte el archivo exe a tu dirección de correo electrónico?;legit
1001;¿Debo ir a buscar pepinillos?;legit
1002;¿Descargaste la aplicación fring?;legit
1003;"¿Dijiste ""negrita"" y luego ""antorcha""? ¿O una ""antorcha"" y dos ""negritas""?";legit
1004;¿Dijo por casualidad lo fantástico que soy o algo que necesite un mayor impulso de vida que perder la voluntad de vivir? ¿Crees que sería la primera persona en morir por NVQ?;legit
1005;¿Dónde conseguirlos?;legit
1006;¿Dónde está el niño de mamá? ¿Se porta bien o mal? ¿Es positivo o negativo? ¿Por qué hacen esperar a mamá? ¿Mmm?;legit
1007;¿Dónde está ese entrenamiento de un día?:-);legit
1008;¿Dónde está mi amiguito? Te extraño... ¿Qué pasó?;legit
1009;¿Dónde está mi chico? :-(;legit
1010;¿Dónde está? ¿Hay alguna vacante para MCA?;legit
1011;¿Dónde están las llaves del garaje? No están en la estantería.;legit
1012;¿Dónde estaría sin mi bebé? Solo pensarlo me destroza y no quiero volverme loca, pero todo chico necesita a su chica.;legit
1013;¿Dónde estás, amor? Te necesito...;legit
1014;¿Dónde estás? ¿Cuándo llegarás aquí?;legit
1015;¿Dónde estás? ¿Qué estás haciendo? ¿Estás intentando llevar la computadora a casa de tu mamá? ¿Encontraste un lugar donde funcione? Te necesito.;legit
1016;¿Dónde estás? ¿Qué haces? ¿Cómo puedes soportar estar lejos de mí? ¿No te duele el corazón sin mí? ¿No te preguntas por mí? ¿No me anhelas?;legit
1017;¿Dónde estás? ¿Qué pasa?;legit
1018;¿Dónde estás? Dijiste que estarías aquí cuando despertara... :-(;legit
1019;¿Dónde estás? Llámame.;legit
1020;¿Dónde nos reuniremos mañana?;legit
1021;¿Donde nos reuniremos?;legit
1022;¿Dónde puedo descargar películas y DVD en formato claro?;legit
1023;¿Dónde también teníamoslegitbre?;legit
1024;¿Dónde te has estado escondiendo, extraño?;legit
1025;¿Dormiste? Creo que esta hora (<pm>) no es peligrosa.;legit
1026;¿Eh, qué tarde...? ¿Para cenar?;legit
1027;¿Eh, tan temprano? Entonces, ¿cenaré afuera?;legit
1028;¿Eh? ¿Recuerdas cómo se escribe su nombre? Sí, lo hice. Se portó muy mal hasta que me mojé.;legit
1029;¿Eh? ¿Seis tampoco? ¿Cuántos errores?;legit
1030;¿Eh? Pero no puedo ir a tu casa con las manos vacías ¿verdad?;legit
1031;¿Eh? Significa ciencia computacional... ¿Y les gusta ese empujón aquí y allá...?;legit
1032;¿El examen real fue más difícil que el NBME?;legit
1033;¿El tío Timi ayuda a limpiar los autos?;legit
1034;¿El viernes tienes permiso para hacer pongal? ¿Recibes alguna noticia de tu lugar de trabajo?;legit
1035;¿En qué lugar puedo conseguir habitaciones baratas?:-);legit
1036;¿En qué lugar quieres da?;legit
1037;¿En qué número vives? ¿Es el 11?;legit
1038;¿En qué parte de Abj estás sirviendo? ¿Te quedas con papá o solo?;legit
1039;¿En serio así es como se escribe su nombre?;legit
1040;¿En serio cuándo vas a subir? Solo me faltan dos entradas y una chaqueta más y listo. Ya usé todos mis multis.;legit
1041;¿En serio? ¿Qué tal si le di una buena lamida?;legit
1042;¿En serio? ¿Saliste al aire? ¿Cuál es tu talento?;legit
1043;¿En serio? Actuar, escribir un artículo, ir al cine y estar en casa a medianoche, ¿eh?;legit
1044;¿En serio? Me quedé dormido acurrucado en mi sofá.;legit
1045;¿Encendiste la calefacción? Estaba encendida y ajustada a <#> grados.;legit
1046;¿Encontraste niñera para Kaitlyn? Estuve enferma y dormí todo el día ayer.;legit
1047;¿Entendiste la historia de esa persona?;legit
1048;¿Entonces algo especial?;legit
1049;¿Entonces compra hoy? No hace falta que me veas...;legit
1050;¿Entonces ella no puede creer qué?;legit
1051;¿Entonces no puedo conseguir la laptop? Mi tarjeta de matrícula...;legit
1052;¿Entonces por qué viniste al albergue?;legit
1053;¿Entonces puedes recoger tu computadora portátil?;legit
1054;¿Entonces qué programaremos el b lk el domingo?;legit
1055;¿Entonces tu física obtiene un-?;legit
1056;¿Entonces vas a Ikea directamente a eso?;legit
1057;¿Entonces ya tienes los hombros de Samus?;legit
1058;¿Eres la chica más linda del mundo o qué?;legit
1059;¿Eres lo suficientemente único? Descúbrelo a partir del 30 de agosto. www.areyouunique.co.uk;spam
1060;¿Es buena la serie S de Fujitsu LifeBook?;legit
1061;¿Es esa la hora a la que quieres que llegue?;legit
1062;¿Es toshiba portege m100 gd?;legit
1063;¿Eso es todo? Supongo que es bastante fácil.;legit
1064;¿Eso sale en la tele? ¡No, es Bridget Jones!;legit
1065;¿Está bien, entonces cenamos?;legit
1066;¿Está bien, podemos recoger algunos? ¿Abren antes de esta noche?;legit
1067;¿Está bien? ¿Debería planear venir más tarde esta noche?;legit
1068;¿Esta noche? Sí, me apunto.;legit
1069;¿Está respondiendo? ¿Boye ha cambiado su número de teléfono?;legit
1070;¿Esta sola respuesta nos está poniendo a pelear? Además, dije que no tenía dinero y no respondiste.;legit
1071;¿Está xy en tu auto cuando me recoges?;legit
1072;¿Estaba abierta la granja?;legit
1073;¿Están todos listos para el gran día mañana?;legit
1074;¿Estando enfermo aún puedes ir de compras?;legit
1075;¿Estarás aquí para comer?;legit
1076;¿Estarás en línea esta noche?;legit
1077;¿Estás ahí en la habitación?;legit
1078;¿Estás bien? ¿Qué te pasó para que te comportaras así?;legit
1079;¿Estas conduciendo o entrenando?;legit
1080;¿Estás despierto? ¿Hay nieve ahí?;legit
1081;¿Estás diciendo que debería volver a pedir las pantuflas porque tuve que pagar por devolverlas?;legit
1082;¿Estás disponible ahora? Estoy cerca de Hillsborough.;legit
1083;¿Estás disponible para la velada el 3 de junio?;legit
1084;¿Estas dispuesto a ir a la clase de aplicaciones?;legit
1085;¿Estás dispuesto a ir a una clase de aptitud?;legit
1086;¿Estás durmiendo ahora? ¿O te vas a ir? Jaja... Tengo espías... Estoy en línea revisando y respondiendo correos...;legit
1087;¿Estas en el trabajo ahora mismo?;legit
1088;¿Estás en este continente?;legit
1089;¿Estás en la ciudad? Esto es muy importante.;legit
1090;¿Estás en mi? Deberías intentar calcular cuánto dinero tiene cada uno para gasolina y alcohol. Jay y yo estamos intentando calcular nuestro presupuesto para marihuana.;legit
1091;¿Estás en ricino? Necesitas ver algo.;legit
1092;¿Estás en tu habitación? Necesito unas cuantas;legit
1093;¿Estás enojada conmigo? ¿Qué pasa, querida?;legit
1094;¿Estás estudiando álgebra lineal hoy?;legit
1095;¿Estás exagerando al rascarte?;legit
1096;¿Estás feliz, cariño? ¿Estás bien? ¿Aceptaste ese trabajo? Espero que estés bien. Te mando un beso para que sonrías desde el otro lado del mar... *beso* *beso*;legit
1097;¿Estás jugando al póquer espacial?;legit
1098;¿Estas libre ahora?¿Puedo llamar ahora?;legit
1099;"¿Estás libre en Sat Rite? ¿Quieres ver ""Infernal Affairs"" conmigo, Darren y quizás Xy?";legit
1100;¿Estás listo entonces llámame...?;legit
1101;¿Estás mojado ahora mismo?;legit
1102;¿Estás ocupado o puedo pasar en algún momento y ver qué haremos mañana?;legit
1103;¿Estás planeando venir a Chennai?;legit
1104;¿Estás por aquí? Un amigo mío quiere quedar conmigo esta noche.;legit
1105;¿Estás seguro de que no puedes tomarte ningún tiempo por enfermedad?;legit
1106;¿Estás seguro de que no quieres decir \llegar aquí?;legit
1107;¿Estás seguro de que tus vecinos no lo recogieron?;legit
1108;¿Estás solo en la ciudad?;legit
1109;¿Estás tan ocupado?;legit
1110;¿Estás viendo una película?;legit
1111;¿Este mes cumple años Kotees lo sabe?;legit
1112;¿Estudias en la escuela o vas a casa? Bueno, iré a la escuela más tarde.;legit
1113;¿Ew? ¿Eres uno de ellos?;legit
1114;¿Fue algo que comiste?;legit
1115;¿Hablaste con tu madre eh?;legit
1116;¿Hace cuanto que no gritas, princesa?;legit
1117;"¿Hacemos lo normal mañana? Solo termino un examen de 4.15 de ST. Tengo que arreglar cosas de la biblioteca mañana. Recibí una carta de hoy; acceso hasta finales de marzo, así que mejor me pongo en marcha.";legit
1118;¿Has averiguado a qué hora sale el autobús porque necesito arreglar algunas cosas?;legit
1119;¿Has comido? ¿Qué hora quieres que venga?;legit
1120;¿Has dejado de lado tu línea Airtel?;legit
1121;¿Has emigrado o algo así? Bueno, quizás las 5:30 te dieron un poco de esperanza...;legit
1122;¿Has empezado en Skye?;legit
1123;¿Has estado practicando tu reverencia?;legit
1124;¿Has oído algo de esta semana?;legit
1125;¿Has oído hablar de ese trabajo? Voy a ir a esa charla sobre vida silvestre otra vez esta noche, si quieres venir. ¿Es eso de Worzels y un Wizzle o lo que sea?;legit
1126;¿Has oído hablar de la nueva Barbie Divorciada? ¡Viene con todo lo de Ken!;spam
1127;¿Has visto quién ha vuelto a Holby?;legit
1128;¿Hay algún cine al que pueda ir y ver películas ilimitadas y pagar solo una vez?;legit
1129;¿Hay algún edificio administrativo ahí? Quizás llegue un poco antes... Te llamo cuando llegue...;legit
1130;¿Hay algún entrenamiento mañana?;legit
1131;¿Hay alguna manera de enviarle las cosas de Shade? Ella también ha sido maravillosa.;legit
1132;¿Hay alguna razón por la que no hemos hablado este año? En fin, que tengas una excelente semana y mucha suerte en tu examen.;legit
1133;¿Hay puestos de asistente técnico disponibles? Avísame, por favor, porque necesito empezar a trabajar.;legit
1134;¿Hola? ¿Les gusta el spam a las chicas? ¿Podrías ser un gigoló? Para unirte al club de hombres de mayor crecimiento del Reino Unido, responde ONCALL. mjzgroup. 08714342399.2. Para. Responde STOP. msg@å1.50rcvd;spam
1135;¿Hombres de moda o te has ido?;legit
1136;¿Intentaste hacer otro trasero?;legit
1137;¿Jos pregunta si quieres quedar?;legit
1138;¿Jueves por la noche? Sí, claro, lo arreglamos entonces.;legit
1139;¿Jugar con la computadora? Hola, ¿te ayudo?;legit
1140;¿La mejor oferta el Cyber Wow? Conectate a la transmision en vivo hoy a las 6PM y descubre el HACK de Dsctos aqui: https://smsung.pe/liveshop (Tiempo limitado);spam
1141;¿Le cosiste el pantalón?;legit
1142;¿Les traigo una botella de vino para entretenernos? ¡Es broma! De todas formas, la traeré.;legit
1143;¿Listo? ¿Entregado? ¿Ya están las celebraciones en pleno apogeo?;legit
1144;¿Lo encontraste? Me siento muy estúpido porque la cámara estaba funcionando.;legit
1145;¿Lo hice? Creí haberlo devuelto a la caja.;legit
1146;¿Los conoces? ¿Serán tus amigos o compañeros de clase?;legit
1147;¿Mal historial crediticio? Aprobamos tu préstamo sin verificación: http://prestamoexpress.club;spam
1148;¿Me atrevo a preguntar...? ¿Tuviste suerte con el auto?;legit
1149;¿Me estás diciendo que podría haber sido tu verdadero Valentín y no lo fui? ¡Nunca me eliges por nada!;legit
1150;¿Me llamas, verdad? Llámame al móvil...;legit
1151;¿Me ocultas algo o te mantienes alejado de mí?;legit
1152;¿Me pregunto qué estás haciendo ahora mismo?;legit
1153;¿Me pregunto si recibirás este texto?;legit
1154;¿Meh? Que algunos chocarán... En serio, no me importa... No he visto que haya bajado de peso... Vaya...;legit
1155;¿Necesitas dinero para tus planes? Ahora tenemos una mejor alternativa para ti con nuestro Préstamo Tarjetero.​;spam
1156;¿Necesitas dinero para tus planes? Ahora tenemos una mejor alternativa para ti con nuestro Préstamo Tarjetero.​;spam
1157;¿Necesitas un café mañana? ¡No puedo creer que ya sea esa época de la semana!;legit
1158;¿Necesitas un módulo de Humanidades Dis Sem Izzit? ¿Quieres cursar otros módulos primero?;legit
1159;¿Necesito un inicio de sesión o algo?;legit
1160;¿No es ese momento del mes ni mitad del tiempo?;legit
1161;¿No es un amigo una necesidad en la vida? Imagínate sin un amigo... ¿Cómo te sentirías en la universidad? ¿Qué harías con tu celular? ¿Qué hay de las funciones? ¿Qué piensas de los eventos, especialmente de los que te cuidaron, extrañaron e irritaron? Un saludo a todos esos queridos amigos sin los cuales no puedes vivir... Yo acabo de hacerlo... Cuídate... :) ¡Buenos días!;legit
1162;¿No estás por aquí o simplemente sigues durmiendo? :V;legit
1163;¿No estás seguro de que no estoy tratando de hacer fumar a Xavier porque no quiero fumar después de que me hayan dicho que fumo demasiado?;legit
1164;¿No ha sido ese el patrón de los últimos fines de semana de mierda?;legit
1165;¿No hace falta que vaya a ingeniería? Porque mi hermana está en arte hoy...;legit
1166;¿No haces nada y entonces no cenas con nosotros?;legit
1167;¿No lo revisaste? Ya recibí su mensaje detallado.;legit
1168;¿No necesitas elegir a tu novia?;legit
1169;¿No ponen eso en las carreteras para evitar que se pongan resbaladizas por allí?;legit
1170;¿No pudiste leerme, mi amor? Te respondí.;legit
1171;¿No recuerdas ese viejo comercial?;legit
1172;¿No sabes si Ben se va?;legit
1173;¿No te pusieron la vacuna contra la hepatitis B en Nigeria?;legit
1174;¿No tiene clase mañana temprano y por lo tanto no debería intentar fumar en <#>;legit
1175;¿No tienes oferta de mensaje?;legit
1176;¿Normalmente tarda quince putos minutos en responder a una pregunta de sí o no?;legit
1177;¿O no podemos ver si podemos unirnos a Denis y Mina? ¿O Denis quiere estar solo?;legit
1178;¿O puedo ir a comprar con él y luego nos vemos más tarde?;legit
1179;¿Oh, cargaste la cámara?;legit
1180;¿Olvidé decírtelo? Te deseo, te necesito, te anhelo... Pero sobre todo... te amo, mi dulce corcel árabe... Mmm... ¡Qué rico!;legit
1181;¿Oye, ya casi se acabó el juego? ¿Quieres ir pronto a Walmart?;legit
1182;¿Papá tiene un bebé ahora?;legit
1183;¿Podrías darme los detalles del viernes cuando lo sepas, porque no estoy ni en mañana ni en viernes? Mencioné chino. Gracias.;legit
1184;¿Podrías decirle a la gente que voy a ir a la 18 porque pasaron dos autobuses porque estaban llenos y todavía estoy esperando la 1? Pete x;legit
1185;¿Podrías decirle a Shola que vaya a la Facultad de Medicina y visite el departamento académico, le cuente a la secretaria académica la situación actual y pregunte si puede transferirse? Debería pedirle a alguien que investigue a Sagamu por lo mismo y a Lautech. Es vital que complete sus estudios de medicina en Nigeria. Es mucho más económico. A menos que reciba la tarifa de ciudadano en Nueva Zelanda.;legit
1186;¿Podrías decirme la respuesta? BSLVYL enviado vía fullonsms.com;legit
1187;¿Podrías enviarme el nombre de la empresa? En Saibaba Colany.;legit
1188;¿Podrías enviarme un correo con toda la información sobre los familiares que vienen a dar a luz aquí? ¿Qué sabes sobre costos, riesgos, beneficios y demás? Gracias.;legit
1189;¿Podrías hacer una reunión de revista sobre este aguacate en algún momento?;legit
1190;¿Por miedo a desmayarte con todas las tareas domésticas que acabas de hacer? ¡Rápido, tómate una taza!;legit
1191;¿Por qué de? Te ves bien solamente:-)..;legit
1192;¿Por qué debemos esperar sentados los días de verano para celebrar? ¡Qué mágico espectáculo cuando el mundo se viste de blanco! ¡Oooooh, que nieve!;legit
1193;¿Por qué estás cansado de lo especial que eras?;legit
1194;¿Por qué Guoyang se lo contó? ¿Y luego se lo dijiste?;legit
1195;¿Por qué le preguntas princesa?;legit
1196;¿Por qué me desperté solo? >:(;legit
1197;¿Por qué me interpongo entre ustedes?;legit
1198;¿Por qué me mantienes alejado de esta manera?;legit
1199;¿Por qué nada? Bueno, de todos modos, dame un capricho.;legit
1200;¿Por qué no esperas al menos hasta el miércoles para ver si consigues el tuyo?;legit
1201;¿Por qué no llamaste para pedir tu almuerzo?;legit
1202;¿Por qué no lo cree? Ya le dije que es verdad. Creo que debe unirnos para creer.;legit
1203;¿Por qué no puedes probar un nuevo invento para volar? No estoy bromeando.;legit
1204;¿Por qué no vas y le dices a tu amigo que no estás seguro de querer vivir con él porque fuma demasiado y luego pasas horas rogándole que venga a fumar?;legit
1205;¿Por qué no viniste con nosotros?;legit
1206;¿Por qué quiere hablar conmigo?;legit
1207;¿Por qué te levantas tan temprano?;legit
1208;¿Por qué, princesa? ¡Apuesto a que todos tus hermanos te persiguen!;legit
1209;¿Probablemente quieras recoger más?;legit
1210;¿Puede llamarme mas tarde?;legit
1211;¿Puede llamarme más tarde?;legit
1212;¿Puede un no?;legit
1213;¿Puedes abrir la puerta?;legit
1214;¿Puedes decirme qué pasó?;legit
1215;¿Puedes echarme un vistazo en da lib? Tengo cosas que aún no he terminado.;legit
1216;¿Puedes enviarme el número de mi tía por favor?;legit
1217;¿Puedes hablar conmigo?;legit
1218;¿Puedes hacer transacciones en línea?;legit
1219;¿Puedes llamarme a las 10:10 para asegurarte de que me he despertado?;legit
1220;¿Puedes llamarme AHORA? Quiero chatear y quedar. Llámame AHORA al 09096102316. Puedes venir mañana. Con cariño, Jane. Llamadas: 1/min. Más llamadas. EMS. PO Box 45PO139WA.;spam
1221;¿Puedes llamarme, por favor? Tu número está fuera de cobertura. Tengo una llamada urgente a Vasai y necesito llegar antes de las 4:00, así que llámame, por favor.;legit
1222;¿Puedes pasar un segundo? Hay alguien aquí que quiero que veas.;legit
1223;¿Puedes preguntarle a Macho cuál es su rango de precios? ¿Quiere algo nuevo o usado? Además, solo intervino en el Blackberry Bold <#> o cualquier BB.;legit
1224;¿Puedes recibir mensajes con imágenes en tu teléfono?;legit
1225;¿Puedes utilizar sellos extranjeros para cualquier cosa que envíes?;legit
1226;¿Puedo decidir más rápido porque mi hermana se va a casa pronto?;legit
1227;¿Puedo encontrarme con Ì_ a las 5? Como el lugar es el 4, depende de dónde quiera quedar Ì_. Quiero quedar con 2 en lor.;legit
1228;¿Puedo enviarme una copia del informe?;legit
1229;¿Puedo llamarte más tarde, por favor?;legit
1230;¿Puedo obtener tu opinión sobre algo primero?;legit
1231;¿Puedo pasar la noche aquí? Xavier tiene un saco de dormir y me estoy cansando.;legit
1232;¿Puedo predecir en qué momento terminaré de comprar?;legit
1233;¿PUEDO SUBIR AHORA, POR FAVOR, ESTOY EN LA CIUDAD? NO IMPORTA SI URGENTE FUERA;legit
1234;¿Puedo tomar prestado tu bolso, ok?;legit
1235;¿Puedo? No sé qué conseguir para ella...;legit
1236;¿Qué * llevas puesto?;legit
1237;¿Qué año? ¿Y cuántas millas?;legit
1238;¿Qué canal:-):-):):-).;legit
1239;¿Qué clase de <#> reunión?;legit
1240;¿Qué crees que sería necesario organizar el transporte si no puedes hacerlo? Gracias.;legit
1241;¿Qué debo comer para el almuerzo, señor?;legit
1242;¿QUÉ DESCUENTO PARA ESTUDIANTES PUEDO CONSEGUIR EN LIBROS?;legit
1243;"¿Qué es ese lugar ""hechizo"" del que hablas? ¡Explícalo!";legit
